#CNTAS Song Fri Oct 24 00:01:42 2014 
#USER: Song 
#DATE: Fri Oct 24 00:01:42 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[1.05, 1.05, 1.05, -8], step=[0, 0, 0, 0.2], np=81, time=60)
#STEPS: EN = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   45.00          om=  264.29 
#ANGLES:        s2th=  -97.67         ath=   39.92      detang=   79.84 
#ANGLES:         sgU=    0.11         sgL=    0.53       mvfoc= 1090.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   16.00         s1Y=   16.00 
#ANGLES:         s1L=   60.00         s1U=   60.00         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.00         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   16.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 1.0500  1.0500  1.0500   4.20 314338.0   60.00       28       13   115976  22.50  45.00 224.74 -78.40  28.06  56.13   0.53   0.11
 1.0500  1.0500  1.0500   4.40 313960.0   60.00       40       11   115978  22.50  45.00 224.16 -78.85  28.44  56.89   0.53   0.11
 1.0500  1.0500  1.0500   4.60 315147.0   60.00       37       19   115980  22.50  45.00 223.57 -79.29  28.84  57.68   0.53   0.11
 1.0500  1.0500  1.0500   4.80 315399.0   60.00       26       12   115982  22.50  45.00 222.98 -79.75  29.25  58.50   0.53   0.11
 1.0500  1.0500  1.0500   5.00 316212.0   60.00       41       11   115984  22.50  45.00 222.38 -80.22  29.68  59.36   0.53   0.11
 1.0500  1.0500  1.0500   5.20 314756.0   60.00       26       11   115986  22.50  45.00 221.77 -80.69  30.13  60.27   0.53   0.11
 1.0500  1.0500  1.0500   5.40 314640.0   60.00       51       19   115988  22.50  45.00 221.15 -81.18  30.60  61.21   0.53   0.11
 1.0500  1.0500  1.0500   5.60 314493.0   60.00       40       13   115990  22.50  45.00 220.52 -81.68  31.10  62.20   0.53   0.11
 1.0500  1.0500  1.0500   5.80 313585.0   60.00       38       14   115992  22.50  45.00 219.89 -82.20  31.62  63.24   0.53   0.11
 1.0500  1.0500  1.0500   6.00 315946.0   60.00       45       16   115994  22.50  45.00 219.25 -82.73  32.16  64.33   0.53   0.11
 1.0500  1.0500  1.0500   6.20 315608.0   60.00       31        9   115996  22.50  45.00 218.59 -83.27  32.74  65.49   0.53   0.11
 1.0500  1.0500  1.0500   6.40 313726.0   60.00       34       10   115998  22.50  45.00 217.93 -83.82  33.35  66.71   0.53   0.11
 1.0500  1.0500  1.0500   6.60 315315.0   60.00       44       11   116000  22.50  45.00 217.26 -84.40  34.00  68.00   0.53   0.11
 1.0500  1.0500  1.0500   6.80 314204.0   60.00       41       11   116002  22.50  45.00 216.58 -84.98  34.68  69.37   0.53   0.11
 1.0500  1.0500  1.0500   7.00 312740.0   60.00       42       13   116004  22.50  45.00 215.88 -85.59  35.41  70.82   0.53   0.11
 1.0500  1.0500  1.0500   7.20 315169.0   60.00       33        7   116006  22.50  45.00 215.18 -86.22  36.19  72.38   0.53   0.11
 1.0500  1.0500  1.0500   7.40 314960.0   60.00       38        7   116008  22.50  45.00 214.46 -86.88  37.02  74.04   0.53   0.11
 1.0500  1.0500  1.0500   7.60 313047.0   60.00       44        9   116011  22.50  45.00 213.72 -87.55  37.91  75.83   0.53   0.11
 1.0500  1.0500  1.0500   7.80 313853.0   60.00       40       11   116014  22.50  45.00 212.97 -88.26  38.88  77.76   0.53   0.11
 1.0500  1.0500  1.0500   8.00 313896.0   60.00       44       13   116016  22.50  45.00 212.21 -88.99  39.92  79.84   0.53   0.11
