#CNTAS Song Sat Jul 19 07:55:56 2014 
#USER: Song 
#DATE: Sat Jul 19 07:55:56 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=10, step=0.2, end=350, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=   10.00 
#ANGLES:        s2th=  -59.31         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.64     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     43.80          1          1     6286.0        5.0     105993      0.000      0.000
     44.00          2          0     6266.0        5.0     105994      0.000      0.000
     44.20         11          1     6436.0        5.0     105995      0.000      0.000
     44.40          7          0     6317.0        5.0     105996      0.000      0.000
     44.60          3          1     6143.0        5.0     105997      0.000      0.000
     44.80          3          0     6306.0        5.0     105998      0.000      0.000
     45.00          7          1     6299.0        5.0     105999      0.000      0.000
     45.20          3          2     6202.0        5.0     106000      0.000      0.000
     45.40          4          0     6321.0        5.0     106001      0.000      0.000
     45.60          6          1     6267.0        5.0     106002      0.000      0.000
     45.80          5          0     6209.0        5.0     106003      0.000      0.000
     46.00          5          1     6337.0        5.0     106004      0.000      0.000
     46.20          8          1     6166.0        5.0     106005      0.000      0.000
     46.40          4          0     6167.0        5.0     106006      0.000      0.000
     46.60          4          0     6309.0        5.0     106007      0.000      0.000
     46.80          6          1     6320.0        5.0     106008      0.000      0.000
     47.00          7          1     6333.0        5.0     106009      0.000      0.000
     47.20          1          0     6290.0        5.0     106010      0.000      0.000
     47.40          8          1     6320.0        5.0     106011      0.000      0.000
     47.60          4          1     6286.0        5.0     106012      0.000      0.000
     47.80         10          0     6300.0        5.0     106013      0.000      0.000
     48.00          6          1     6259.0        5.0     106014      0.000      0.000
     48.20          5          2     6365.0        5.0     106015      0.000      0.000
     48.40          4          0     6210.0        5.0     106016      0.000      0.000
     48.60          2          0     6395.0        5.0     106017      0.000      0.000
     48.80          3          0     6263.0        5.0     106018      0.000      0.000
     49.00          9          1     6329.0        5.0     106019      0.000      0.000
     49.20          5          0     6248.0        5.0     106020      0.000      0.000
     49.40          6          0     6336.0        5.0     106021      0.000      0.000
     49.60          6          1     6268.0        5.0     106022      0.000      0.000
     49.80          4          0     6355.0        5.0     106023      0.000      0.000
     50.00          4          0     6340.0        5.0     106024      0.000      0.000
     50.20          0          0     6360.0        5.0     106025      0.000      0.000
     50.40          4          1     6359.0        5.0     106026      0.000      0.000
     50.60          6          1     6319.0        5.0     106027      0.000      0.000
     50.80          6          2     6383.0        5.0     106028      0.000      0.000
     51.00          5          0     6418.0        5.0     106029      0.000      0.000
     51.20          6          0     6295.0        5.0     106030      0.000      0.000
