#CNTAS Song Sat Jul 19 01:06:59 2014 
#USER: Song 
#DATE: Sat Jul 19 01:06:59 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=om, start=350, step=0.2, end=10, time=5)
#STEPS: om = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   17.44       monho=   34.87          om=  350.00 
#ANGLES:        s2th=  -59.32         ath=   17.44      detang=   34.87 
#ANGLES:         sgU=    0.00         sgL=   -0.74       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  997.65     detdist=  650.00 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       om        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    316.20          4          0     6237.0        5.0     104292      0.000      0.000
    316.00          2          0     6183.0        5.0     104293      0.000      0.000
    315.80          4          1     6274.0        5.0     104294      0.000      0.000
    315.60          1          0     6299.0        5.0     104295      0.000      0.000
    315.40          1          1     6291.0        5.0     104296      0.000      0.000
    315.20          8          2     6493.0        5.0     104297      0.000      0.000
    315.00          3          0     6395.0        5.0     104298      0.000      0.000
    314.80          3          2     6437.0        5.0     104299      0.000      0.000
    314.60          2          0     6452.0      5.008     104300      0.000      0.000
    314.40          4          0     6401.0        5.0     104301      0.000      0.000
    314.20          2          1     6351.0        5.0     104302      0.000      0.000
    314.00          3          0     6443.0        5.0     104303      0.000      0.000
    313.80          2          1     6427.0        5.0     104304      0.000      0.000
    313.60          3          2     6365.0      5.008     104305      0.000      0.000
    313.40          5          2     6260.0        5.0     104306      0.000      0.000
    313.20          4          0     6351.0        5.0     104307      0.000      0.000
    313.00          1          1     6336.0        5.0     104308      0.000      0.000
    312.80          1          0     6340.0        5.0     104309      0.000      0.000
    312.60          4          0     6258.0        5.0     104310      0.000      0.000
    312.40          2          1     6342.0        5.0     104311      0.000      0.000
    312.20          2          2     6440.0        5.0     104312      0.000      0.000
    312.00          6          2     6246.0        5.0     104313      0.000      0.000
    311.80          3          1     6426.0        5.0     104314      0.000      0.000
    311.60          6          0     6371.0        5.0     104315      0.000      0.000
    311.40          2          0     6317.0        5.0     104316      0.000      0.000
    311.20          0          0     6284.0        5.0     104317      0.000      0.000
    311.00          2          1     6216.0        5.0     104318      0.000      0.000
    310.80          4          1     6304.0        5.0     104319      0.000      0.000
    310.60          3          1     6377.0        5.0     104320      0.000      0.000
    310.40          3          2     6426.0        5.0     104321      0.000      0.000
    310.20          4          0     6287.0        5.0     104322      0.000      0.000
    310.00          4          0     6349.0        5.0     104323      0.000      0.000
    309.80          3          1     6326.0        5.0     104324      0.000      0.000
    309.60          6          1     6297.0        5.0     104325      0.000      0.000
    309.40          1          1     6332.0        5.0     104326      0.000      0.000
    309.20          1          0     6187.0        5.0     104327      0.000      0.000
    309.00          5          0     6392.0        5.0     104328      0.000      0.000
    308.80          5          2     6341.0        5.0     104329      0.000      0.000
